Date,Silver_10,Gold_10,Silver_30,Gold_30,Silver_100,Gold_100,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,Target
2021-06-08,-0.6167711945548331,0.40326730788450776,5.738047707801559,6.351169239048835,8.601095828571813,2.0824328924441073,52.92158231452602,0.30353180613144914,-0.08456587332076759,0.38809767945221674,46.14693390249025,45.600663244851035,0.0
2021-06-09,-0.1854693603432996,-0.2581541792892062,5.955625909234847,6.4791873549985946,8.69649768982345,2.3185375999379323,56.15173488239184,0.29356265762128686,-0.0756280174647439,0.36919067508603076,49.7978381244896,46.062873273231844,0.0
2021-06-10,0.5816204539973103,-0.3734338333723905,7.415360076876077,6.823821527856086,12.849943720731899,3.5477997382291537,56.50878280139153,0.2847996928051444,-0.0675127858247091,0.3523124786298535,51.438836745522075,49.127869590833996,0.0
2021-06-11,0.7593391182992673,-0.9653387787713945,7.976052901782854,6.181779895783531,11.282096862740008,2.0603438115826314,57.93516718550143,0.2839421928636945,-0.05469622861292722,0.3386384214766217,61.41486909270541,54.217181320905716,0.0
2021-06-14,0.11074246167008053,-2.02365308804205,8.39747601114264,5.471620466258434,8.898737009642806,-0.10182884341079063,56.107229011940575,0.2714989134277559,-0.053711606439092674,0.32521051986684857,62.350110690304994,58.401272176177514,0.0
2021-06-15,-1.4385903428378153,-2.543487508176671,2.7316929791053197,3.5223833161762106,7.191543314769763,-0.5789979384233723,50.56727107954553,0.2311345878650215,-0.07526074560146168,0.3063953334664832,54.29258832354501,59.352522702185155,0.0
2021-06-16,-1.3694797971684407,-2.5163826998689385,4.751496667512093,4.71336574335099,8.917093928251141,0.2047771152726101,52.344513108426646,0.2065283964995004,-0.07989354957358624,0.28642194607308663,46.35490422086832,54.332534411572794,0.0
2021-06-17,-5.884920887399191,-5.205210821149896,-2.4828349783633032,-0.5773178016231841,1.5281867614643792,-4.372201979540965,32.194152698173355,0.028862303352990892,-0.2060477141760766,0.23491001752906748,26.354904220868324,42.3341322550939,1.0
2021-06-18,-6.8904894255684885,-6.4504191588762705,-5.476657621195504,-2.621865909442991,1.680445241781792,-4.473978977812316,33.7938292089542,-0.10156965065423051,-0.2691837345466384,0.1676140838924079,16.017165444199748,29.575657961978816,1.0
2021-06-21,-7.0926041926930985,-6.062842526340556,-5.269100972864489,-2.6923667421292445,2.518127178425794,-3.4202382107929106,34.62430836824074,-0.1980554938626824,-0.29253566220407223,0.09448016834138984,3.6543866166518293,15.342152093906654,1.0
2021-06-22,-6.736426374003296,-6.125140330543346,-5.935443478164298,-3.330609587585034,-0.23544259925331523,-3.3516499683151193,33.30609458699384,-0.2847146955148787,-0.3033558910850148,0.018641195570136125,3.7073769305682682,7.792976330473301,1.0
2021-06-23,-6.7071672959747,-5.857801880625651,-5.600751381029532,-2.919547626404342,-2.944237279278458,-3.5186487458404048,37.307934730474116,-0.32862471051089415,-0.2778127248648242,-0.05081198564606993,5.816097583040269,4.392620376753475,0.0
